time,email,name,company,job_title,linkedin_url,website,bio,class,country,city,school,education_program,status,accessibility
2025-06-14 18:50:45,smits.a53@example.com,Aya Smits,Philips,,https://linkedin.com/in/aya-smits-53,,"Ambitious professional focused on expanding market reach. Former student at Eindhoven University of Technology, now making an impact at Philips.",V6C,Verenigde Staten,Amsterdam,Eindhoven University of Technology,Gezondheidszorg & Geneeskunde,bezig met masters,No
2026-10-17 09:30:28,sannep54@example.com,Sanne Peters,Amazon,Social Media Manager,https://linkedin.com/in/sanne-peters-54,,,V6B,Duitsland,Amsterdam,Vrije University Amsterdam,Computer Science,bezig met masters,Yes
2026-05-07 21:14:34,bramp55@example.com,Bram Perez,Rabobank,,https://linkedin.com/in/bram-perez-55,,"Experienced professional dedicated to ensuring data privacy. Alumni of Leiden University, class of 2026.",V6B,Nederland,Eindhoven,Leiden University,Computer Science,Afgestudeert vwo/havo,Yes
2026-11-09 11:18:01,amy56@example.com,Amy Jones,,Business Development,,,Recent graduate from Delft University of Technology with a degree in Rechten. Now working as business development at a leading organization.,V6B,Nederland,Twente,Delft University of Technology,Rechten,Afgestudeert vwo/havo,No
2025-09-04 18:23:37,dekker.o57@example.com,Oscar Dekker,Strukton,,,https://oscardekker57.com,,V6A,Engeland,Amsterdam,Vrije University Amsterdam,Bèta & Techniek,bezig met bachelors,Yes
2025-10-10 04:23:41,luca.dejong58@example.com,Luca De Jong,,Founder,https://linkedin.com/in/luca-de-jong-58,,,V6C,Verenigde Staten,Twente,Eindhoven University of Technology,Gezondheidszorg & Geneeskunde,bezig met masters,No
2025-09-08 10:13:17,fenna.white59@example.com,Fenna White,,Graphic Designer,https://linkedin.com/in/fenna-white-59,,,V6B,Engeland,Den Haag,Leiden University,Economie & Business,bezig met masters,No
2026-03-21 16:39:16,kevinv60@example.com,Kevin Van der Laan,,,,https://kevinvanderlaan60.com,,V6A,Frankrijk,Amsterdam,Delft University of Technology,Gezondheidszorg & Geneeskunde,Afgestudeert vwo/havo,Yes
2025-01-11 00:17:18,linah61@example.com,Lina Hernandez,BAM Groep,Biomedical Engineer,,,,V6B,Verenigde Staten,Den Haag,Vrije University Amsterdam,Gezondheidszorg & Geneeskunde,Afgestudeert vwo/havo,Yes
2025-08-27 21:12:40,lisa62@example.com,Lisa Koning,Strukton,Investment Banker,https://linkedin.com/in/lisa-koning-62,,,V6B,Engeland,Delft,Vrije University Amsterdam,Bèta & Techniek,Afgestudeert vwo/havo,No
2022-04-17 19:20:05,ali63@example.com,Ali Miller,Shell,Business Development,,,Innovative thinker and business development with a track record in supply chain optimization. Alumni of Delft University of Technology.,V6A,Engeland,Twente,Delft University of Technology,Economie & Business,bezig met bachelors,Yes
2026-06-04 20:26:04,jones.h64@example.com,Hugo Jones,PwC,,,,,V6C,Verenigde Staten,Twente,Eindhoven University of Technology,Rechten,bezig met bachelors,No
2026-08-05 01:45:04,peeters.b65@example.com,Benjamin Peeters,Ballast Nedam,Aerospace Engineer,,,,V6A,Nederland,Amsterdam,Eindhoven University of Technology,Economie & Business,bezig met masters,No
2023-07-07 06:19:51,lynn66@example.com,Lynn Lopez,Stripe,Trader,,,,V6B,Frankrijk,Delft,Leiden University,Economie & Business,bezig met masters,Yes
2022-04-17 03:03:52,charlotte67@example.com,Charlotte Van Loon,Brekke,Trader,,,Alumni from Delft University of Technology specializing in Bèta & Techniek. Working as trader with a passion for building scalable systems.,V6C,Frankrijk,Eindhoven,Delft University of Technology,Bèta & Techniek,bezig met masters,No
2026-03-02 10:06:35,vanderlinden.l68@example.com,Liv Van der Linden,Shell,COO,https://linkedin.com/in/liv-van-der-linden-68,,,V6B,Verenigde Staten,Delft,Leiden University,Computer Science,bezig met bachelors,Yes
2025-04-30 18:40:37,feline.smit69@example.com,Feline Smit,Tesla,Actuary,https://linkedin.com/in/feline-smit-69,,,V6C,Nederland,Delft,Eindhoven University of Technology,Economie & Business,bezig met bachelors,No
2023-05-28 15:47:24,kevin.taylor70@example.com,Kevin Taylor,Witteveen+Bos,,,,Driven professional with expertise in machine learning. Currently professional at Witteveen+Bos.,V6B,Duitsland,Amsterdam,Delft University of Technology,Talen & Cultuur,bezig met masters,No
2023-08-29 01:20:42,janssen.a71@example.com,Adam Janssen,TomTom,,https://linkedin.com/in/adam-janssen-71,,,V6C,Engeland,Delft,Delft University of Technology,Talen & Cultuur,Afgestudeert vwo/havo,No
2026-05-16 16:24:48,vanderheijden.c72@example.com,Charlotte Van der Heijden,,Data Analyst,,,,V6A,Nederland,Eindhoven,University of Twente,Economie & Business,bezig met masters,Yes
2025-12-09 13:17:04,youssefv73@example.com,Youssef Van der Linden,Ballast Nedam,,https://linkedin.com/in/youssef-van-der-linden-73,,,V6A,Verenigde Staten,Twente,Eindhoven University of Technology,Bèta & Techniek,bezig met masters,No
2026-01-30 19:11:05,zoe.vanderspoel74@example.com,Zoe Van der Spoel,Witteveen+Bos,,https://linkedin.com/in/zoe-van-der-spoel-74,,,V6A,Duitsland,Twente,Eindhoven University of Technology,Economie & Business,Afgestudeert vwo/havo,No
2022-10-02 19:30:44,tessa.anderson75@example.com,Tessa Anderson,Fugro,Account Manager,https://linkedin.com/in/tessa-anderson-75,,,V6B,Nederland,Delft,University of Twente,Economie & Business,bezig met masters,Yes
2024-10-08 01:41:11,gijsd76@example.com,Gijs Davis,Sweco,Network Engineer,,https://gijsdavis76.com,,V6C,Duitsland,Amsterdam,Leiden University,Economie & Business,bezig met masters,No
2025-01-08 01:55:15,casper77@example.com,Casper Van der Linden,Uber,Accountant,https://linkedin.com/in/casper-van-der-linden-77,,,V6B,Verenigde Staten,Eindhoven,Delft University of Technology,Computer Science,bezig met masters,No
2025-12-07 08:34:21,liv78@example.com,Liv Groen,,Policy Advisor,,,"Experienced policy advisor dedicated to optimizing business processes. Alumni of Vrije University Amsterdam, class of 2025.",V6B,Nederland,Eindhoven,Vrije University Amsterdam,Computer Science,bezig met masters,Yes
2026-03-17 08:21:42,livm79@example.com,Liv Martin,Heineken,Editor,,,,V6C,Engeland,Den Haag,Vrije University Amsterdam,Rechten,bezig met bachelors,No
2026-08-04 08:41:39,vanderspoel.l80@example.com,Lara Van der Spoel,,,https://linkedin.com/in/lara-van-der-spoel-80,,,V6A,Verenigde Staten,Eindhoven,Erasmus University Rotterdam,Gezondheidszorg & Geneeskunde,Afgestudeert vwo/havo,No
2023-02-01 16:37:04,lina81@example.com,Lina Verhoeven,Consultant,Portfolio Manager,https://linkedin.com/in/lina-verhoeven-81,,,V6B,Duitsland,Amsterdam,Eindhoven University of Technology,Economie & Business,bezig met bachelors,No
2022-03-25 18:02:52,sophie.peeters82@example.com,Sophie Peeters,,Biomedical Engineer,https://linkedin.com/in/sophie-peeters-82,,Detail-oriented professional with a background in Bèta & Techniek. Currently biomedical engineer at a leading organization.,V6B,Verenigde Staten,Twente,Eindhoven University of Technology,Bèta & Techniek,Afgestudeert vwo/havo,Yes
2026-04-24 02:51:06,sem.vandervelden83@example.com,Sem Van der Velden,Shopify,,https://linkedin.com/in/sem-van-der-velden-83,https://semvandervelden83.com,,V6B,Frankrijk,Eindhoven,Delft University of Technology,Computer Science,bezig met masters,Yes
2026-01-17 21:46:12,guuss84@example.com,Guus Schouten,AkzoNobel,Accountant,https://linkedin.com/in/guus-schouten-84,,Results-oriented accountant with 1 years of experience in software development. Based in Eindhoven.,V6C,Frankrijk,Eindhoven,Vrije University Amsterdam,Bèta & Techniek,Afgestudeert vwo/havo,No
2026-07-05 20:14:01,lucasv85@example.com,Lucas Van Loon,Deloitte,,,,,V6A,Duitsland,Eindhoven,Leiden University,Computer Science,Afgestudeert vwo/havo,No
2024-11-30 19:42:48,oliverk86@example.com,Oliver Kuipers,Vopak,,https://linkedin.com/in/oliver-kuipers-86,,,V6B,Frankrijk,Twente,Leiden University,Economie & Business,bezig met masters,Yes
2025-11-16 08:46:34,vanderzee.r87@example.com,Roos Van der Zee,Spotify,Physical Therapist,https://linkedin.com/in/roos-van-der-zee-87,,,V6C,Duitsland,Amsterdam,University of Twente,Talen & Cultuur,Afgestudeert vwo/havo,No
2024-11-03 09:06:28,sara.vandenbroek88@example.com,Sara Van den Broek,Royal HaskoningDHV,,,,Recent graduate from Delft University of Technology with a degree in Computer Science. Now working as professional at Royal HaskoningDHV.,V6B,Duitsland,Twente,Delft University of Technology,Computer Science,bezig met bachelors,No
2024-01-30 20:37:26,vanderlinden.s89@example.com,Sophie Van der Linden,Adyen,IT Support,https://linkedin.com/in/sophie-van-der-linden-89,,Detail-oriented professional with a background in Talen & Cultuur. Currently it support at Adyen.,V6A,Frankrijk,Den Haag,University of Twente,Talen & Cultuur,bezig met bachelors,No
2026-04-21 21:46:09,hanav90@example.com,Hana Van der Laan,,Physical Therapist,https://linkedin.com/in/hana-van-der-laan-90,,"Ambitious physical therapist focused on creating sustainable solutions. Former student at Leiden University, now making an impact at a leading organization.",V6C,Nederland,Delft,Leiden University,Computer Science,bezig met bachelors,Yes
2026-10-04 10:32:30,isabellav91@example.com,Isabella Van der Stelt,,Consultant,,,,V6B,Duitsland,Amsterdam,Vrije University Amsterdam,Bèta & Techniek,bezig met bachelors,No
2026-10-07 04:21:03,sofiaj92@example.com,Sofia Jacobs,Startup,Partner,https://linkedin.com/in/sofia-jacobs-92,,Creative problem-solver working as partner at Startup. Graduated from Delft University of Technology in 2026.,V6C,Verenigde Staten,Eindhoven,Delft University of Technology,Economie & Business,bezig met bachelors,No
2024-03-03 21:38:29,william.peeters93@example.com,William Peeters,,Partner,https://linkedin.com/in/william-peeters-93,,,V6A,Engeland,Eindhoven,Delft University of Technology,Economie & Business,bezig met masters,Yes
2025-03-07 11:48:01,david94@example.com,David Van Veen,,Content Creator,,,Innovative thinker and content creator with a track record in financial modeling. Alumni of Erasmus University Rotterdam.,V6C,Frankrijk,Delft,Erasmus University Rotterdam,Computer Science,bezig met bachelors,Yes
2026-09-24 00:34:38,pim.janssen95@example.com,Pim Janssen,Strukton,Intern,https://linkedin.com/in/pim-janssen-95,,,V6B,Frankrijk,Delft,University of Twente,Gezondheidszorg & Geneeskunde,bezig met bachelors,Yes
2024-06-30 03:50:22,hugo.deboer96@example.com,Hugo De Boer,Shopify,Lawyer,https://linkedin.com/in/hugo-de-boer-96,https://hugodeboer96.com,,V6C,Duitsland,Delft,Eindhoven University of Technology,Rechten,bezig met bachelors,Yes
2025-07-19 21:34:59,lottev97@example.com,Lotte Van der Heijden,Royal HaskoningDHV,,,,,V6A,Duitsland,Eindhoven,University of Twente,Gezondheidszorg & Geneeskunde,Afgestudeert vwo/havo,Yes
2023-04-13 17:03:57,hoekstra.m98@example.com,Mia Hoekstra,,Systems Administrator,https://linkedin.com/in/mia-hoekstra-98,,,V6C,Engeland,Delft,Vrije University Amsterdam,Economie & Business,Afgestudeert vwo/havo,No
2026-05-12 16:30:14,yaras99@example.com,Yara Smit,Sweco,Co-Founder,https://linkedin.com/in/yara-smit-99,,Results-oriented co-founder with 0 years of experience in marketing strategy. Based in Amsterdam.,V6C,Frankrijk,Amsterdam,Erasmus University Rotterdam,Economie & Business,bezig met bachelors,No
2026-10-15 02:57:21,jens.janssen100@example.com,Jens Janssen,Aerius,,https://linkedin.com/in/jens-janssen-100,https://jensjanssen100.com,Innovative thinker and professional with a track record in artificial intelligence. Alumni of Vrije University Amsterdam.,V6C,Verenigde Staten,Delft,Vrije University Amsterdam,Gezondheidszorg & Geneeskunde,Afgestudeert vwo/havo,No
2026-08-15 14:49:52,david101@example.com,David Gonzalez,ING Groep,Mechanical Engineer,,,Detail-oriented professional with a background in Gezondheidszorg & Geneeskunde. Currently mechanical engineer at ING Groep.,V6C,Nederland,Eindhoven,Eindhoven University of Technology,Gezondheidszorg & Geneeskunde,bezig met masters,Yes
2025-08-06 19:50:37,oliver.wilson102@example.com,Oliver Wilson,Palantir,Aerospace Engineer,https://linkedin.com/in/oliver-wilson-102,,,V6C,Frankrijk,Twente,University of Twente,Computer Science,Afgestudeert vwo/havo,Yes
2025-03-29 07:54:45,johnson.a103@example.com,Ali Johnson,DSM,CEO,https://linkedin.com/in/ali-johnson-103,,Alumni from Eindhoven University of Technology specializing in Rechten. Working as ceo with a passion for developing innovative products.,V6C,Duitsland,Eindhoven,Eindhoven University of Technology,Rechten,Afgestudeert vwo/havo,No
2024-06-20 19:14:39,omar104@example.com,Omar Williams,Brekke,Intern,,,,V6B,Duitsland,Den Haag,Leiden University,Economie & Business,bezig met bachelors,Yes
2022-08-02 17:39:27,oscar105@example.com,Oscar Willems,VolkerWessels,COO,https://linkedin.com/in/oscar-willems-105,,"Experienced coo dedicated to bridging technology and society. Alumni of University of Twente, class of 2022.",V6A,Engeland,Delft,University of Twente,Talen & Cultuur,Afgestudeert vwo/havo,Yes
2026-03-09 23:43:19,sannew106@example.com,Sanne White,,Content Creator,https://linkedin.com/in/sanne-white-106,,,V6A,Frankrijk,Den Haag,Vrije University Amsterdam,Computer Science,bezig met masters,Yes
2026-02-22 02:50:02,bakker.l107@example.com,Levi Bakker,,Social Media Manager,,https://levibakker107.com,"Ambitious social media manager focused on advancing medical technology. Former student at Leiden University, now making an impact at a leading organization.",V6C,Frankrijk,Amsterdam,Leiden University,Gezondheidszorg & Geneeskunde,bezig met bachelors,No
2022-09-17 21:55:00,verhoeven.t108@example.com,Thijs Verhoeven,AkzoNobel,Network Engineer,,,,V6A,Verenigde Staten,Eindhoven,University of Twente,Talen & Cultuur,bezig met bachelors,No
2025-09-27 01:04:16,ella109@example.com,Ella Johnson,,Logistics Coordinator,https://linkedin.com/in/ella-johnson-109,,,V6B,Duitsland,Eindhoven,University of Twente,Bèta & Techniek,Afgestudeert vwo/havo,No
2023-10-18 09:23:37,dekker.z110@example.com,Zainab Dekker,Airbnb,Data Analyst,,,Results-oriented data analyst with 5 years of experience in operations management. Based in Eindhoven.,V6B,Duitsland,Eindhoven,Erasmus University Rotterdam,Rechten,Afgestudeert vwo/havo,No
2026-12-17 15:31:39,ethanr111@example.com,Ethan Rodriguez,,Postdoc Researcher,,https://ethanrodriguez111.com,Innovative thinker and postdoc researcher with a track record in financial modeling. Alumni of Delft University of Technology.,V6B,Frankrijk,Delft,Delft University of Technology,Bèta & Techniek,Afgestudeert vwo/havo,Yes
2025-04-30 16:20:54,floris.vanderspoel112@example.com,Floris Van der Spoel,Freelance,CTO,https://linkedin.com/in/floris-van-der-spoel-112,https://florisvanderspoel112.com,Creative problem-solver working as cto at Freelance. Graduated from Eindhoven University of Technology in 2025.,V6A,Frankrijk,Twente,Eindhoven University of Technology,Bèta & Techniek,Afgestudeert vwo/havo,No
2024-12-12 03:49:52,casper.deboer113@example.com,Casper De Boer,Adyen,Sales Representative,,https://casperdeboer113.com,,V6B,Nederland,Delft,Eindhoven University of Technology,Rechten,Afgestudeert vwo/havo,No
2026-06-29 19:30:32,jayden.dehaan114@example.com,Jayden De Haan,,Database Administrator,https://linkedin.com/in/jayden-de-haan-114,,Detail-oriented professional with a background in Rechten. Currently database administrator at a leading organization.,V6B,Frankrijk,Den Haag,University of Twente,Rechten,Afgestudeert vwo/havo,Yes
